date,branch_id,branch_name,dish_id,dish_name,category,quantity,revenue,event_flag,weather_condition,temperature,precipitation_mm
2024-09-18,BRANCH_02,FoodFlow Cầu Giấy,D05,Bún Thịt Nướng Chả Giò,Món Khô,86,4730000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_02,FoodFlow Cầu Giấy,D06,Cơm Gà Xối Mỡ Giòn Da,Món Khô,181,9955000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_02,FoodFlow Cầu Giấy,D07,Cơm Rang Dưa Bò Hà Nội,Món Khô,110,6600000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_02,FoodFlow Cầu Giấy,D08,Cơm Tấm Sườn Bì Chả,Món Khô,111,7215000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_02,FoodFlow Cầu Giấy,D09,Bánh Mì Thịt Nướng Giòn,Món Khô,272,9520000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_02,FoodFlow Cầu Giấy,D10,Bánh Mì Chảo Thập Cẩm,Món Khô,61,3050000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_02,FoodFlow Cầu Giấy,D11,Nem Rán Hà Nội (10 cái),Đồ Ăn Nhẹ,42,2520000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_02,FoodFlow Cầu Giấy,D12,Gỏi Cuốn Tôm Thịt (4 cuốn),Đồ Ăn Nhẹ,49,1960000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_02,FoodFlow Cầu Giấy,D13,Khoai Tây Chiên Lắc Phô Mai,Đồ Ăn Nhẹ,101,3535000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_02,FoodFlow Cầu Giấy,D14,Gà Rán Giòn Cay (2 miếng),Đồ Ăn Nhẹ,137,6850000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_02,FoodFlow Cầu Giấy,D15,Cà Phê Sữa Đá Sài Gòn,Cà Phê,304,8512000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_02,FoodFlow Cầu Giấy,D16,Bạc Xỉu Đá,Cà Phê,155,4650000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_02,FoodFlow Cầu Giấy,D17,Cà Phê Muối Xứ Huế,Cà Phê,136,4760000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_02,FoodFlow Cầu Giấy,D18,Americano Đá,Cà Phê,51,1530000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_02,FoodFlow Cầu Giấy,D19,Trà Đào Cam Sả Tươi,Trà & Trái Cây,197,7486000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_02,FoodFlow Cầu Giấy,D20,Trà Sữa Trân Châu Ô Long,Trà & Trái Cây,243,10206000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_02,FoodFlow Cầu Giấy,D21,Matcha Latte Sữa Tươi,Trà & Trái Cây,108,4860000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_02,FoodFlow Cầu Giấy,D22,Nước Ép Dưa Hấu Tươi,Trà & Trái Cây,69,2415000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_03,FoodFlow Tây Hồ,D01,Phở Bò Tái Nạm,Món Nước,138,8280000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_03,FoodFlow Tây Hồ,D02,Phở Gà Ta Lá Chanh,Món Nước,105,5775000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_03,FoodFlow Tây Hồ,D03,Bún Chả Hà Nội,Món Khô,151,9815000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_03,FoodFlow Tây Hồ,D04,Bún Bò Huế Cốt Đậm,Món Nước,90,5850000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_03,FoodFlow Tây Hồ,D05,Bún Thịt Nướng Chả Giò,Món Khô,70,3850000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_03,FoodFlow Tây Hồ,D06,Cơm Gà Xối Mỡ Giòn Da,Món Khô,118,6490000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_03,FoodFlow Tây Hồ,D07,Cơm Rang Dưa Bò Hà Nội,Món Khô,117,7020000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_03,FoodFlow Tây Hồ,D08,Cơm Tấm Sườn Bì Chả,Món Khô,90,5850000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_03,FoodFlow Tây Hồ,D09,Bánh Mì Thịt Nướng Giòn,Món Khô,85,2975000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_03,FoodFlow Tây Hồ,D10,Bánh Mì Chảo Thập Cẩm,Món Khô,41,2050000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_03,FoodFlow Tây Hồ,D11,Nem Rán Hà Nội (10 cái),Đồ Ăn Nhẹ,58,3480000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_03,FoodFlow Tây Hồ,D12,Gỏi Cuốn Tôm Thịt (4 cuốn),Đồ Ăn Nhẹ,59,2360000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_03,FoodFlow Tây Hồ,D13,Khoai Tây Chiên Lắc Phô Mai,Đồ Ăn Nhẹ,27,945000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_03,FoodFlow Tây Hồ,D14,Gà Rán Giòn Cay (2 miếng),Đồ Ăn Nhẹ,42,2100000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_03,FoodFlow Tây Hồ,D15,Cà Phê Sữa Đá Sài Gòn,Cà Phê,296,8288000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_03,FoodFlow Tây Hồ,D16,Bạc Xỉu Đá,Cà Phê,82,2460000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_03,FoodFlow Tây Hồ,D17,Cà Phê Muối Xứ Huế,Cà Phê,78,2730000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_03,FoodFlow Tây Hồ,D18,Americano Đá,Cà Phê,70,2100000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_03,FoodFlow Tây Hồ,D19,Trà Đào Cam Sả Tươi,Trà & Trái Cây,89,3382000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_03,FoodFlow Tây Hồ,D20,Trà Sữa Trân Châu Ô Long,Trà & Trái Cây,68,2856000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_03,FoodFlow Tây Hồ,D21,Matcha Latte Sữa Tươi,Trà & Trái Cây,35,1575000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_03,FoodFlow Tây Hồ,D22,Nước Ép Dưa Hấu Tươi,Trà & Trái Cây,46,1610000,,mua_rao,31.4,7.4
2024-09-19,BRANCH_01,FoodFlow Quận 1,D01,Phở Bò Tái Nạm,Món Nước,102,6120000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_01,FoodFlow Quận 1,D02,Phở Gà Ta Lá Chanh,Món Nước,82,4510000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_01,FoodFlow Quận 1,D03,Bún Chả Hà Nội,Món Khô,131,8515000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_01,FoodFlow Quận 1,D04,Bún Bò Huế Cốt Đậm,Món Nước,93,6045000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_01,FoodFlow Quận 1,D05,Bún Thịt Nướng Chả Giò,Món Khô,116,6380000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_01,FoodFlow Quận 1,D06,Cơm Gà Xối Mỡ Giòn Da,Món Khô,236,12980000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_01,FoodFlow Quận 1,D07,Cơm Rang Dưa Bò Hà Nội,Món Khô,162,9720000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_01,FoodFlow Quận 1,D08,Cơm Tấm Sườn Bì Chả,Món Khô,188,12220000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_01,FoodFlow Quận 1,D09,Bánh Mì Thịt Nướng Giòn,Món Khô,259,9065000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_01,FoodFlow Quận 1,D10,Bánh Mì Chảo Thập Cẩm,Món Khô,54,2700000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_01,FoodFlow Quận 1,D11,Nem Rán Hà Nội (10 cái),Đồ Ăn Nhẹ,43,2580000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_01,FoodFlow Quận 1,D12,Gỏi Cuốn Tôm Thịt (4 cuốn),Đồ Ăn Nhẹ,59,2360000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_01,FoodFlow Quận 1,D13,Khoai Tây Chiên Lắc Phô Mai,Đồ Ăn Nhẹ,47,1645000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_01,FoodFlow Quận 1,D14,Gà Rán Giòn Cay (2 miếng),Đồ Ăn Nhẹ,72,3600000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_01,FoodFlow Quận 1,D15,Cà Phê Sữa Đá Sài Gòn,Cà Phê,337,9436000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_01,FoodFlow Quận 1,D16,Bạc Xỉu Đá,Cà Phê,131,3930000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_01,FoodFlow Quận 1,D17,Cà Phê Muối Xứ Huế,Cà Phê,140,4900000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_01,FoodFlow Quận 1,D18,Americano Đá,Cà Phê,152,4560000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_01,FoodFlow Quận 1,D19,Trà Đào Cam Sả Tươi,Trà & Trái Cây,155,5890000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_01,FoodFlow Quận 1,D20,Trà Sữa Trân Châu Ô Long,Trà & Trái Cây,130,5460000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_01,FoodFlow Quận 1,D21,Matcha Latte Sữa Tươi,Trà & Trái Cây,62,2790000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_01,FoodFlow Quận 1,D22,Nước Ép Dưa Hấu Tươi,Trà & Trái Cây,62,2170000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_02,FoodFlow Cầu Giấy,D01,Phở Bò Tái Nạm,Món Nước,74,4440000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_02,FoodFlow Cầu Giấy,D02,Phở Gà Ta Lá Chanh,Món Nước,36,1980000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_02,FoodFlow Cầu Giấy,D03,Bún Chả Hà Nội,Món Khô,106,6890000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_02,FoodFlow Cầu Giấy,D04,Bún Bò Huế Cốt Đậm,Món Nước,52,3380000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_02,FoodFlow Cầu Giấy,D05,Bún Thịt Nướng Chả Giò,Món Khô,85,4675000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_02,FoodFlow Cầu Giấy,D06,Cơm Gà Xối Mỡ Giòn Da,Món Khô,207,11385000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_02,FoodFlow Cầu Giấy,D07,Cơm Rang Dưa Bò Hà Nội,Món Khô,99,5940000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_02,FoodFlow Cầu Giấy,D08,Cơm Tấm Sườn Bì Chả,Món Khô,140,9100000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_02,FoodFlow Cầu Giấy,D09,Bánh Mì Thịt Nướng Giòn,Món Khô,248,8680000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_02,FoodFlow Cầu Giấy,D10,Bánh Mì Chảo Thập Cẩm,Món Khô,61,3050000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_02,FoodFlow Cầu Giấy,D11,Nem Rán Hà Nội (10 cái),Đồ Ăn Nhẹ,47,2820000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_02,FoodFlow Cầu Giấy,D12,Gỏi Cuốn Tôm Thịt (4 cuốn),Đồ Ăn Nhẹ,48,1920000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_02,FoodFlow Cầu Giấy,D13,Khoai Tây Chiên Lắc Phô Mai,Đồ Ăn Nhẹ,105,3675000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_02,FoodFlow Cầu Giấy,D14,Gà Rán Giòn Cay (2 miếng),Đồ Ăn Nhẹ,113,5650000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_02,FoodFlow Cầu Giấy,D15,Cà Phê Sữa Đá Sài Gòn,Cà Phê,236,6608000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_02,FoodFlow Cầu Giấy,D16,Bạc Xỉu Đá,Cà Phê,169,5070000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_02,FoodFlow Cầu Giấy,D17,Cà Phê Muối Xứ Huế,Cà Phê,131,4585000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_02,FoodFlow Cầu Giấy,D18,Americano Đá,Cà Phê,47,1410000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_02,FoodFlow Cầu Giấy,D19,Trà Đào Cam Sả Tươi,Trà & Trái Cây,157,5966000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_02,FoodFlow Cầu Giấy,D20,Trà Sữa Trân Châu Ô Long,Trà & Trái Cây,208,8736000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_02,FoodFlow Cầu Giấy,D21,Matcha Latte Sữa Tươi,Trà & Trái Cây,90,4050000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_02,FoodFlow Cầu Giấy,D22,Nước Ép Dưa Hấu Tươi,Trà & Trái Cây,61,2135000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_03,FoodFlow Tây Hồ,D01,Phở Bò Tái Nạm,Món Nước,131,7860000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_03,FoodFlow Tây Hồ,D02,Phở Gà Ta Lá Chanh,Món Nước,122,6710000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_03,FoodFlow Tây Hồ,D03,Bún Chả Hà Nội,Món Khô,171,11115000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_03,FoodFlow Tây Hồ,D04,Bún Bò Huế Cốt Đậm,Món Nước,81,5265000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_03,FoodFlow Tây Hồ,D05,Bún Thịt Nướng Chả Giò,Món Khô,55,3025000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_03,FoodFlow Tây Hồ,D06,Cơm Gà Xối Mỡ Giòn Da,Món Khô,142,7810000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_03,FoodFlow Tây Hồ,D07,Cơm Rang Dưa Bò Hà Nội,Món Khô,129,7740000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_03,FoodFlow Tây Hồ,D08,Cơm Tấm Sườn Bì Chả,Món Khô,73,4745000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_03,FoodFlow Tây Hồ,D09,Bánh Mì Thịt Nướng Giòn,Món Khô,114,3990000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_03,FoodFlow Tây Hồ,D10,Bánh Mì Chảo Thập Cẩm,Món Khô,45,2250000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_03,FoodFlow Tây Hồ,D11,Nem Rán Hà Nội (10 cái),Đồ Ăn Nhẹ,49,2940000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_03,FoodFlow Tây Hồ,D12,Gỏi Cuốn Tôm Thịt (4 cuốn),Đồ Ăn Nhẹ,74,2960000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_03,FoodFlow Tây Hồ,D13,Khoai Tây Chiên Lắc Phô Mai,Đồ Ăn Nhẹ,32,1120000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_03,FoodFlow Tây Hồ,D14,Gà Rán Giòn Cay (2 miếng),Đồ Ăn Nhẹ,32,1600000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_03,FoodFlow Tây Hồ,D15,Cà Phê Sữa Đá Sài Gòn,Cà Phê,256,7168000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_03,FoodFlow Tây Hồ,D16,Bạc Xỉu Đá,Cà Phê,75,2250000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_03,FoodFlow Tây Hồ,D17,Cà Phê Muối Xứ Huế,Cà Phê,77,2695000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_03,FoodFlow Tây Hồ,D18,Americano Đá,Cà Phê,75,2250000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_03,FoodFlow Tây Hồ,D19,Trà Đào Cam Sả Tươi,Trà & Trái Cây,77,2926000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_03,FoodFlow Tây Hồ,D20,Trà Sữa Trân Châu Ô Long,Trà & Trái Cây,87,3654000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_03,FoodFlow Tây Hồ,D21,Matcha Latte Sữa Tươi,Trà & Trái Cây,36,1620000,,mua_rao,31.3,10.0
2024-09-19,BRANCH_03,FoodFlow Tây Hồ,D22,Nước Ép Dưa Hấu Tươi,Trà & Trái Cây,59,2065000,,mua_rao,31.3,10.0
2024-09-20,BRANCH_01,FoodFlow Quận 1,D01,Phở Bò Tái Nạm,Món Nước,120,7200000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_01,FoodFlow Quận 1,D02,Phở Gà Ta Lá Chanh,Món Nước,87,4785000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_01,FoodFlow Quận 1,D03,Bún Chả Hà Nội,Món Khô,119,7735000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_01,FoodFlow Quận 1,D04,Bún Bò Huế Cốt Đậm,Món Nước,93,6045000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_01,FoodFlow Quận 1,D05,Bún Thịt Nướng Chả Giò,Món Khô,91,5005000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_01,FoodFlow Quận 1,D06,Cơm Gà Xối Mỡ Giòn Da,Món Khô,199,10945000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_01,FoodFlow Quận 1,D07,Cơm Rang Dưa Bò Hà Nội,Món Khô,131,7860000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_01,FoodFlow Quận 1,D08,Cơm Tấm Sườn Bì Chả,Món Khô,191,12415000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_01,FoodFlow Quận 1,D09,Bánh Mì Thịt Nướng Giòn,Món Khô,211,7385000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_01,FoodFlow Quận 1,D10,Bánh Mì Chảo Thập Cẩm,Món Khô,71,3550000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_01,FoodFlow Quận 1,D11,Nem Rán Hà Nội (10 cái),Đồ Ăn Nhẹ,52,3120000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_01,FoodFlow Quận 1,D12,Gỏi Cuốn Tôm Thịt (4 cuốn),Đồ Ăn Nhẹ,79,3160000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_01,FoodFlow Quận 1,D13,Khoai Tây Chiên Lắc Phô Mai,Đồ Ăn Nhẹ,50,1750000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_01,FoodFlow Quận 1,D14,Gà Rán Giòn Cay (2 miếng),Đồ Ăn Nhẹ,63,3150000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_01,FoodFlow Quận 1,D15,Cà Phê Sữa Đá Sài Gòn,Cà Phê,450,12600000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_01,FoodFlow Quận 1,D16,Bạc Xỉu Đá,Cà Phê,148,4440000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_01,FoodFlow Quận 1,D17,Cà Phê Muối Xứ Huế,Cà Phê,155,5425000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_01,FoodFlow Quận 1,D18,Americano Đá,Cà Phê,120,3600000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_01,FoodFlow Quận 1,D19,Trà Đào Cam Sả Tươi,Trà & Trái Cây,125,4750000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_01,FoodFlow Quận 1,D20,Trà Sữa Trân Châu Ô Long,Trà & Trái Cây,145,6090000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_01,FoodFlow Quận 1,D21,Matcha Latte Sữa Tươi,Trà & Trái Cây,79,3555000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_01,FoodFlow Quận 1,D22,Nước Ép Dưa Hấu Tươi,Trà & Trái Cây,70,2450000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_02,FoodFlow Cầu Giấy,D01,Phở Bò Tái Nạm,Món Nước,50,3000000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_02,FoodFlow Cầu Giấy,D02,Phở Gà Ta Lá Chanh,Món Nước,40,2200000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_02,FoodFlow Cầu Giấy,D03,Bún Chả Hà Nội,Món Khô,111,7215000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_02,FoodFlow Cầu Giấy,D04,Bún Bò Huế Cốt Đậm,Món Nước,47,3055000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_02,FoodFlow Cầu Giấy,D05,Bún Thịt Nướng Chả Giò,Món Khô,86,4730000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_02,FoodFlow Cầu Giấy,D06,Cơm Gà Xối Mỡ Giòn Da,Món Khô,245,13475000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_02,FoodFlow Cầu Giấy,D07,Cơm Rang Dưa Bò Hà Nội,Món Khô,108,6480000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_02,FoodFlow Cầu Giấy,D08,Cơm Tấm Sườn Bì Chả,Món Khô,158,10270000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_02,FoodFlow Cầu Giấy,D09,Bánh Mì Thịt Nướng Giòn,Món Khô,301,10535000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_02,FoodFlow Cầu Giấy,D10,Bánh Mì Chảo Thập Cẩm,Món Khô,69,3450000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_02,FoodFlow Cầu Giấy,D11,Nem Rán Hà Nội (10 cái),Đồ Ăn Nhẹ,35,2100000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_02,FoodFlow Cầu Giấy,D12,Gỏi Cuốn Tôm Thịt (4 cuốn),Đồ Ăn Nhẹ,45,1800000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_02,FoodFlow Cầu Giấy,D13,Khoai Tây Chiên Lắc Phô Mai,Đồ Ăn Nhẹ,122,4270000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_02,FoodFlow Cầu Giấy,D14,Gà Rán Giòn Cay (2 miếng),Đồ Ăn Nhẹ,112,5600000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_02,FoodFlow Cầu Giấy,D15,Cà Phê Sữa Đá Sài Gòn,Cà Phê,273,7644000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_02,FoodFlow Cầu Giấy,D16,Bạc Xỉu Đá,Cà Phê,144,4320000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_02,FoodFlow Cầu Giấy,D17,Cà Phê Muối Xứ Huế,Cà Phê,128,4480000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_02,FoodFlow Cầu Giấy,D18,Americano Đá,Cà Phê,55,1650000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_02,FoodFlow Cầu Giấy,D19,Trà Đào Cam Sả Tươi,Trà & Trái Cây,207,7866000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_02,FoodFlow Cầu Giấy,D20,Trà Sữa Trân Châu Ô Long,Trà & Trái Cây,283,11886000,,nang_dep,31.3,0.0
2024-09-20,BRANCH_02,FoodFlow Cầu Giấy,D21,Matcha Latte Sữa Tươi,Trà & Trái Cây,117,5265000,,nang_dep,31.3,0.0
